Expiry Time,Risk-Free Rate,Volatility,Strike Price,Original Method Price,Optimized Method Price,Basis,Call Flag,Original Computation Time,Optimized Computation Time
1,0.02,0.1,102,3.73341,4.0453,2,1,31.8665,56.4539
1,0.02,0.1,102,3.73341,4.10252,1,1,31.8665,57.0584
1,0.02,0.1,102,3.73341,4.03161,0,1,31.8665,35.2845
1,0.02,0.1,105,2.54134,2.77133,0,1,22.2185,40.74
1,0.02,0.1,105,2.54134,2.68088,1,1,22.2185,65.5135
1,0.02,0.1,105,2.54134,2.68115,2,1,22.2185,61.0329
1,0.02,0.1,110,1.15801,1.41337,0,1,16.2158,48.5862
1,0.02,0.1,110,1.15801,1.34895,1,1,16.2158,81.2847
1,0.02,0.1,110,1.15801,1.29118,2,1,16.2158,72.5298
1,0.02,0.1,120,0.216848,0.221788,0,1,10.1699,48.2192
1,0.02,0.1,120,0.216848,0.227086,1,1,10.1699,78.1621
1,0.02,0.1,120,0.216848,0.234431,2,1,10.1699,80.2582
1,0.02,0.1,150,5.80969e-06,0.000332468,0,1,3.80172,50.8912
1,0.02,0.1,150,5.80969e-06,0,1,1,3.80172,82.5213
1,0.02,0.1,150,5.80969e-06,0,2,1,3.80172,81.2582
1,0.02,0.1,98,2.3351,2.20598,2,0,27.1545,41.6884
1,0.02,0.1,98,2.3351,2.2907,1,0,27.1545,46.3634
1,0.02,0.1,98,2.3351,2.14169,0,0,27.1545,28.6873
1,0.02,0.1,95,1.32135,1.3277,0,0,21.3691,23.5463
1,0.02,0.1,95,1.32135,1.34078,1,0,21.3691,36.4699
1,0.02,0.1,95,1.32135,1.29606,2,0,21.3691,31.5109
1,0.02,0.1,90,0.43045,0.452098,1,0,15.0523,25.2305
1,0.02,0.1,90,0.43045,0.348991,2,0,15.0523,20.8242
1,0.02,0.1,90,0.43045,0.461577,0,0,15.0523,17.1032
1,0.02,0.1,80,0.0153237,0.0238423,0,0,5.08296,5.40953
1,0.02,0.1,80,0.0153237,0.0163883,1,0,5.08296,5.86586
1,0.02,0.1,80,0.0153237,0.0050805,2,0,5.08296,5.14858
1,0.02,0.1,50,0,0,0,0,3.81955,4.32127
1,0.02,0.1,50,0,0,1,0,3.81955,4.32841
1,0.02,0.1,50,0,0,2,0,3.81955,4.3255
1,0.02,0.2,102,7.5363,7.9007,0,1,29.6588,35.009
1,0.02,0.2,102,7.5363,7.69241,1,1,29.6588,56.2662
1,0.02,0.2,102,7.5363,7.90178,2,1,29.6588,52.3416
1,0.02,0.2,105,6.23229,6.71731,0,1,25.3722,37.7665
1,0.02,0.2,105,6.23229,6.87479,1,1,25.3722,60.4899
1,0.02,0.2,105,6.23229,6.61038,2,1,25.3722,57.4209
1,0.02,0.2,110,4.37763,4.95301,0,1,21.6499,41.1613
1,0.02,0.2,110,4.37763,4.95021,1,1,21.6499,67.2761
1,0.02,0.2,110,4.37763,4.96644,2,1,21.6499,63.642
1,0.02,0.2,120,2.19933,2.60849,0,1,16.3192,45.0565
1,0.02,0.2,120,2.19933,2.41779,1,1,16.3192,73.4842
1,0.02,0.2,120,2.19933,2.45775,2,1,16.3192,70.8934
1,0.02,0.2,150,0.222704,0.270697,0,1,6.36617,51.7527
1,0.02,0.2,150,0.222704,0.249501,1,1,6.36617,79.2336
1,0.02,0.2,150,0.222704,0.267736,2,1,6.36617,74.7413
1,0.02,0.2,98,6.41559,5.96478,0,0,28.6147,29.9792
1,0.02,0.2,98,6.41559,6.11386,1,0,28.6147,47.8634
1,0.02,0.2,98,6.41559,5.8624,2,0,28.6147,43.7278
1,0.02,0.2,95,4.88761,4.69547,0,0,24.8564,26.8368
1,0.02,0.2,95,4.88761,4.80917,1,0,24.8564,42.4907
1,0.02,0.2,95,4.88761,4.56726,2,0,24.8564,38.0462
1,0.02,0.2,90,3.10201,2.97884,0,0,20.6784,22.3485
1,0.02,0.2,90,3.10201,2.97644,1,0,20.6784,35.06
1,0.02,0.2,90,3.10201,2.65412,2,0,20.6784,30.535
1,0.02,0.2,80,0.8597,0.887663,1,0,14.1905,23.7288
1,0.02,0.2,80,0.8597,1.00978,0,0,14.1905,16.7467
1,0.02,0.2,80,0.8597,0.786934,2,0,14.1905,19.9352
1,0.02,0.2,50,7.66341e-05,0,2,0,3.6008,4.09432
1,0.02,0.2,50,7.66341e-05,0.000258261,0,0,3.6008,4.1566
1,0.02,0.2,50,7.66341e-05,0.000238076,1,0,3.6008,4.13693
1,0.02,0.3,102,12.166,11.9645,0,1,28.3305,34.4835
1,0.02,0.3,102,12.166,11.908,1,1,28.3305,55.2867
1,0.02,0.3,102,12.166,12.1925,2,1,28.3305,51.8932
1,0.02,0.3,105,9.86119,10.7846,0,1,26.2406,36.6965
1,0.02,0.3,105,9.86119,10.5904,1,1,26.2406,59.3509
1,0.02,0.3,105,9.86119,10.9305,2,1,26.2406,54.9453
1,0.02,0.3,110,7.50933,8.67686,0,1,23.355,39.3555
1,0.02,0.3,110,7.50933,8.87549,1,1,23.355,63.6396
1,0.02,0.3,110,7.50933,8.82644,2,1,23.355,60.2923
1,0.02,0.3,120,4.60169,5.82304,0,1,19.1023,43.0332
1,0.02,0.3,120,4.60169,5.55966,1,1,19.1023,69.9764
1,0.02,0.3,120,4.60169,6.12574,2,1,19.1023,66.9376
1,0.02,0.3,150,1.54655,1.8538,0,1,12.0176,46.8552
1,0.02,0.3,150,1.54655,1.74436,1,1,12.0176,76.1458
1,0.02,0.3,150,1.54655,1.82358,2,1,12.0176,73.3148
1,0.02,0.3,98,10.4917,9.78523,0,0,29.6351,31.8048
1,0.02,0.3,98,10.4917,9.75041,2,0,29.6351,46.6369
1,0.02,0.3,98,10.4917,9.90525,1,0,29.6351,50.8995
1,0.02,0.3,95,9.22565,8.44291,0,0,27.5839,29.524
1,0.02,0.3,95,9.22565,8.30262,1,0,27.5839,46.6948
1,0.02,0.3,95,9.22565,8.13629,2,0,27.5839,51.1901
1,0.02,0.3,90,6.61483,5.98357,0,0,24.4065,25.9199
1,0.02,0.3,90,6.61483,6.15373,1,0,24.4065,40.9394
1,0.02,0.3,90,6.61483,5.86149,2,0,24.4065,36.3735
1,0.02,0.3,80,3.02435,3.17322,0,0,18.3404,20.2112
1,0.02,0.3,80,3.02435,3.00863,1,0,18.3404,31.0999
1,0.02,0.3,80,3.02435,2.93606,2,0,18.3404,26.9609
1,0.02,0.3,50,0.037578,0.0424515,1,0,5.09412,6.09782
1,0.02,0.3,50,0.037578,0.012627,2,0,5.09412,5.56189
1,0.02,0.3,50,0.037578,0.03135,0,0,5.09412,5.65103
1,0.02,0.4,102,13.4538,16.2759,0,1,28.1918,34.8191
1,0.02,0.4,102,13.4538,16.0663,1,1,28.1918,56.2191
1,0.02,0.4,102,13.4538,15.8875,2,1,28.1918,56.3599
1,0.02,0.4,105,12.6553,14.6031,0,1,28.7345,39.208
1,0.02,0.4,105,12.6553,14.6585,1,1,28.7345,62.9446
1,0.02,0.4,105,12.6553,14.6992,2,1,28.7345,59.1344
1,0.02,0.4,110,9.85581,12.7699,0,1,26.3771,41.5374
1,0.02,0.4,110,9.85581,12.9746,1,1,26.3771,66.9691
1,0.02,0.4,110,9.85581,13.0713,2,1,26.3771,63.41
1,0.02,0.4,120,7.66929,9.56884,2,1,22.4049,69.3705
1,0.02,0.4,120,7.66929,9.85505,1,1,22.4049,72.7185
1,0.02,0.4,120,7.66929,9.72736,0,1,22.4049,44.6253
1,0.02,0.4,150,3.91131,4.17972,2,1,15.7525,77.2958
1,0.02,0.4,150,3.91131,4.29615,0,1,15.7525,49.0698
1,0.02,0.4,150,3.91131,4.26669,1,1,15.7525,79.1277
1,0.02,0.4,98,14.9397,13.545,0,0,31.1567,34.0929
1,0.02,0.4,98,14.9397,13.8435,1,0,31.1567,52.9636
1,0.02,0.4,98,14.9397,13.6181,2,0,31.1567,47.7998
1,0.02,0.4,95,12.7415,11.8024,2,0,29.0882,47.9832
1,0.02,0.4,95,12.7415,11.7418,0,0,29.0882,32.8057
1,0.02,0.4,95,12.7415,11.9343,1,0,29.0882,52.3266
1,0.02,0.4,90,10.171,9.49384,0,0,27.0677,27.688
1,0.02,0.4,90,10.171,9.74224,1,0,27.0677,43.8213
1,0.02,0.4,90,10.171,9.25626,2,0,27.0677,39.8923
1,0.02,0.4,80,5.82967,5.86049,0,0,20.9888,22.7987
1,0.02,0.4,80,5.82967,5.83829,1,0,20.9888,35.674
1,0.02,0.4,80,5.82967,5.4742,2,0,20.9888,31.6313
1,0.02,0.4,50,0.436179,0.34576,0,0,10.057,11.1133
1,0.02,0.4,50,0.436179,0.386001,1,0,10.057,14.7559
1,0.02,0.4,50,0.436179,0.197816,2,0,10.057,11.899
1,0.02,0.5,102,15.7414,20.2915,0,1,27.6478,34.7583
1,0.02,0.5,102,15.7414,20.0631,1,1,27.6478,55.9071
1,0.02,0.5,102,15.7414,19.4056,2,1,27.6478,52.3298
1,0.02,0.5,105,14.6933,18.3274,1,1,26.4657,58.1214
1,0.02,0.5,105,14.6933,18.7351,0,1,26.4657,35.8898
1,0.02,0.5,105,14.6933,18.0974,2,1,26.4657,54.4516
1,0.02,0.5,110,13.3518,16.4355,0,1,24.641,38.0115
1,0.02,0.5,110,13.3518,16.9135,1,1,24.641,60.8763
1,0.02,0.5,110,13.3518,16.6258,2,1,24.641,57.7691
